trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
190,False,"{'a': 0.4, 'e': 0.021525556177446156}",20,12,-26.945131209892594,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
191,False,"{'a': 0.4, 'e': 0.02109504505389723}",20,13,11.792725697423897,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.4, 'e': 0.020673144152819286}",30,10,21.97259715819634,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.4, 'e': 0.0202596812697629}",30,2,46.3353854114587,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.4, 'e': 0.019854487644367643}",25,12,24.043352066928012,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.4, 'e': 0.01945739789148029}",30,16,22.669914060388088,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.4, 'e': 0.019068249933650683}",30,15,24.42011902219772,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.4, 'e': 0.01868688493497767}",20,13,1.6287560570343231,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.4, 'e': 0.018313147236278113}",30,18,15.404190455662032,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.4, 'e': 0.017946884291552553}",25,11,24.279378716472255,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.4, 'e': 0.0175879466057215}",25,15,-25.507215705107413,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
201,False,"{'a': 0.4, 'e': 0.01723618767360707}",25,3,-25.61849970774684,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 0}",1
202,False,"{'a': 0.4, 'e': 0.01689146392013493}",25,2,36.982601264209514,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.4, 'e': 0.01655363464173223}",20,5,23.80405828208434,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.4, 'e': 0.016222561948897585}",20,6,9.429657125130868,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
205,False,"{'a': 0.4, 'e': 0.015898110709919634}",20,10,19.8603203800622,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.4, 'e': 0.01558014849572124}",20,0,26.756471146021482,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
207,False,"{'a': 0.4, 'e': 0.015268545525806816}",20,9,8.474200621243021,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.4, 'e': 0.014963174615290679}",20,1,11.09730245449919,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
209,False,"{'a': 0.4, 'e': 0.014663911122984865}",20,4,29.46443303684267,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.4, 'e': 0.014370632900525168}",20,6,26.09909992288593,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.4, 'e': 0.014083220242514663}",25,20,9.805962050645018,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.4, 'e': 0.01380155583766437}",20,10,15.955576886508094,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.4, 'e': 0.013525524720911083}",20,14,10.980928484698909,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.4, 'e': 0.01325501422649286}",20,5,22.810663911205275,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.4, 'e': 0.012989913941963003}",35,25,17.160422515050747,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.4, 'e': 0.012730115663123744}",20,5,32.02214106827534,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.4, 'e': 0.012475513349861267}",20,12,13.012832275421442,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.4, 'e': 0.012226003082864043}",25,15,12.172718305634358,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.4, 'e': 0.011981483021206761}",20,11,14.923512921384283,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
